18892	-99	492	-99	529	1	1	0	0
149531	-99	-99	-99	-99	0	0	1	0
183334	390	419	444	446	1	1	0	0
66141	445	472	478	497	1	0	1	0
18269	439	604	494	545	1	1	0	0
168956	-99	-99	-99	-99	0	0	1	0
45497	472	571	513	578	0	1	0	0
57629	-99	463	-99	502	0	1	0	0
31995	-99	548	-99	542	0	1	0	0
6556	407	474	444	493	1	1	0	0
8286	-99	463	-99	567	1	0	1	0
131179	-99	454	-99	515	0	1	0	0
8414	463	505	449	518	0	1	0	0
109104	480	604	626	562	1	1	0	0
57897	-99	-99	-99	-99	1	0	1	0
78511	397	-99	412	-99	0	0	1	0
175437	421	-99	449	481	1	0	1	0
186008	-99	-99	-99	-99	1	1	0	0
93055	-99	478	-99	545	1	1	0	0
100967	-99	475	-99	490	1	1	0	0
65152	410	-99	412	-99	1	1	0	0
63279	453	544	513	538	1	0	1	0
102753	450	495	489	510	1	1	0	0
102922	470	-99	536	-99	0	1	0	0
19079	421	430	506	425	1	1	0	0
65995	424	-99	459	-99	1	1	0	0
46646	-99	-99	-99	-99	0	1	0	0
58393	-99	-99	-99	-99	1	1	0	0
42665	-99	-99	-99	-99	1	0	1	0
38844	463	629	536	601	0	1	0	0
49406	-99	-99	-99	-99	1	1	0	0
147817	-99	431	-99	520	1	1	0	0
185736	-99	-99	-99	-99	1	1	0	0
107050	393	-99	418	-99	1	1	0	0
102680	-99	604	-99	584	1	1	0	0
54873	-99	438	-99	495	1	0	1	0
80223	497	604	559	567	0	1	0	0
153783	-99	485	-99	500	0	0	1	0
16441	400	-99	429	-99	0	0	1	0
176666	-99	-99	-99	-99	0	0	1	0
177574	500	524	547	545	1	1	0	0
70059	422	629	468	578	0	0	1	0
36428	421	445	418	444	0	1	0	0
22890	450	509	478	562	1	1	0	0
60586	-99	459	-99	477	1	1	0	0
177600	-99	-99	-99	-99	1	1	0	0
171245	453	527	547	653	1	1	0	0
99174	397	-99	434	-99	1	0	1	0
145583	-99	-99	-99	-99	0	0	1	0
71595	418	524	513	562	0	0	1	0
62540	-99	505	-99	486	0	1	0	0
165441	393	444	484	484	1	0	1	0
75791	-99	-99	-99	-99	1	0	1	0
167606	458	629	576	627	0	1	0	0
48337	445	544	449	515	0	1	0	0
129081	-99	-99	-99	-99	1	0	1	0
67846	439	629	484	553	1	1	0	0
154313	443	-99	520	-99	1	1	0	0
55119	437	571	528	584	1	0	1	0
89670	414	-99	434	-99	1	0	1	0
3417	-99	-99	-99	-99	0	0	0	1
127932	-99	-99	-99	-99	1	1	0	0
58429	-99	-99	-99	-99	1	0	1	0
66574	-99	-99	-99	526	0	1	0	0
133246	-99	499	489	553	0	1	0	0
105609	-99	439	-99	449	0	0	1	0
64966	-99	604	-99	676	0	1	0	0
30905	-99	478	-99	507	1	1	0	0
100873	-99	524	-99	535	0	1	0	0
78079	-99	457	-99	465	1	1	0	0
178955	-99	-99	-99	-99	1	1	0	0
33072	-99	436	-99	484	1	1	0	0
11212	-99	-99	-99	-99	1	1	0	0
112584	-99	-99	-99	-99	1	1	0	0
127258	407	469	444	477	1	1	0	0
114135	-99	512	-99	486	1	1	0	0
65276	-99	-99	-99	-99	0	1	0	0
3035	442	629	559	627	0	0	1	0
14982	419	428	484	470	1	0	1	0
176025	407	-99	459	-99	1	1	0	0
153146	-99	-99	-99	-99	1	0	1	0
177607	-99	-99	-99	-99	1	0	1	0
40967	425	-99	454	-99	1	1	0	0
1402	-99	-99	-99	-99	0	0	1	0
52319	424	-99	478	-99	0	1	0	0
41197	422	-99	459	578	0	1	0	0
182426	-99	442	-99	436	0	0	1	0
155115	461	571	478	538	0	1	0	0
69584	-99	497	-99	526	1	1	0	0
76157	-99	497	-99	495	0	0	1	0
59360	-99	-99	-99	-99	1	0	1	0
132025	440	488	494	493	0	0	1	0
117821	545	530	626	535	0	0	1	0
46184	428	-99	506	-99	1	0	1	0
142433	407	466	384	502	0	1	0	0
72554	465	514	484	507	1	1	0	0
140795	445	533	513	538	0	1	0	0
121679	461	483	536	490	1	0	1	0
5030	-99	494	-99	493	1	0	1	0
128941	390	433	423	465	1	0	1	0
