22199	416	482	468	535	1	1	0
116608	-99	519	-99	505	1	0	1
114192	440	477	444	515	1	0	1
116800	-99	544	-99	578	0	1	0
160859	-99	460	-99	515	1	1	0
119920	445	-99	536	538	0	1	0
2872	-99	-99	-99	-99	0	0	1
44233	437	-99	463	-99	0	0	1
124652	-99	-99	-99	-99	1	0	1
96497	413	-99	439	-99	1	1	0
129740	-99	-99	-99	-99	1	1	0
102172	-99	-99	-99	-99	0	1	0
53513	421	590	473	529	0	1	0
172315	427	454	444	479	0	1	0
55288	-99	-99	-99	-99	0	1	0
156331	451	474	473	502	1	1	0
54158	-99	-99	-99	-99	0	1	0
50561	430	-99	473	-99	0	0	1
35709	478	604	520	578	1	1	0
44119	-99	-99	-99	-99	0	1	0
59756	428	-99	449	-99	0	1	0
57182	408	-99	439	-99	0	0	1
30571	433	564	478	545	0	1	0
8503	-99	-99	-99	-99	1	1	0
41626	-99	-99	-99	-99	0	1	0
151259	442	590	454	526	1	1	0
98471	518	604	506	627	0	1	0
170489	447	553	489	601	1	1	0
155046	-99	651	-99	653	1	1	0
9575	-99	-99	-99	-99	0	0	1
85569	-99	-99	-99	512	1	1	0
50188	472	524	602	578	0	0	1
57483	-99	-99	-99	-99	1	0	1
95020	483	536	520	549	1	0	1
34617	-99	507	-99	515	0	1	0
141693	-99	-99	-99	-99	0	1	0
38332	430	579	494	529	0	1	0
48985	495	579	528	542	0	1	0
184670	-99	540	-99	535	0	0	1
150476	405	442	429	463	0	0	1
103473	456	590	468	553	1	0	1
120671	450	571	559	572	1	1	0
58759	-99	571	-99	529	0	1	0
116105	-99	-99	-99	-99	0	0	1
62075	430	503	449	486	0	0	1
93937	-99	-99	-99	-99	1	0	1
126282	-99	-99	-99	-99	0	0	1
90783	495	501	576	557	0	0	1
46184	428	-99	506	-99	1	0	1
142587	-99	-99	-99	-99	1	1	0
14749	-99	-99	-99	-99	0	1	0
58310	-99	-99	-99	-99	0	1	0
133639	-99	533	-99	518	0	0	1
94330	428	536	454	535	1	0	1
29369	418	540	468	549	1	1	0
94204	437	-99	468	-99	1	1	0
92369	-99	-99	-99	-99	0	1	0
139857	-99	-99	-99	-99	0	1	0
33358	450	490	494	532	1	1	0
157787	-99	-99	-99	-99	1	1	0
160811	-99	-99	-99	-99	1	0	0
8826	472	-99	528	-99	1	1	0
59659	-99	-99	-99	-99	0	1	0
3645	436	544	459	532	1	1	0
45210	-99	-99	-99	-99	0	1	0
131511	-99	521	-99	523	1	0	1
57950	-99	-99	-99	-99	0	1	0
94968	-99	-99	-99	-99	0	1	0
10631	418	446	429	521	1	1	0
105279	418	501	489	578	1	1	0
23518	-99	483	-99	526	0	0	1
165825	439	579	478	553	1	1	0
3801	418	499	473	500	1	0	1
145543	447	536	459	507	0	0	1
17691	463	564	559	584	1	1	0
96856	-99	-99	-99	584	0	1	0
71964	-99	425	-99	468	1	0	1
14033	-99	553	-99	578	0	1	0
60202	440	519	439	477	1	0	1
124351	427	-99	520	-99	0	1	0
171882	455	590	494	523	1	1	0
88090	430	590	489	529	1	1	0
27387	405	-99	375	-99	0	0	1
101416	-99	-99	-99	-99	1	0	1
37248	-99	-99	-99	-99	1	0	1
166681	-99	478	-99	488	1	0	1
72857	-99	536	-99	538	1	1	0
58365	455	553	489	572	1	1	0
186370	-99	-99	-99	-99	1	0	0
166189	410	466	384	505	1	1	0
31744	-99	-99	-99	-99	0	1	0
166938	-99	430	-99	456	0	0	1
25783	448	604	528	627	1	1	0
25339	-99	516	-99	454	1	1	0
20496	-99	-99	-99	-99	0	0	1
95291	-99	463	-99	512	1	1	0
56352	428	-99	444	-99	1	1	0
6030	-99	-99	-99	-99	1	1	0
58075	430	474	473	502	1	0	1
137679	-99	-99	-99	-99	0	1	0
